Hours,HPHtgLd_W
0,0
1,1744.9
2,986.4
3,417.6
4,417.6
5,986.4
6,5347.5
7,18051.5
8,19189.2
9,18430.7
10,16155.4
11,14638.5
12,11794.3
13,10277.4
14,9139.7
15,8002.1
16,9139.7
17,10656.6
18,14069.6
19,16534.6
20,15776.2
21,14448.9
22,11794.3
23,10277.4
24,5726.7
25,1747.2
26,987.8
27,418
28,418
29,987.9
30,5357
31,18084.6
32,19224.4
33,18464.6
34,16185
35,14665.3
36,11815.8
37,10296.1
38,9156.3
39,8016.5
40,9156.3
41,10676
42,14095.4
43,16564.9
44,15805.1
45,14475.3
46,11815.8
47,10296.1
48,5737
49,1749.9
50,989.2
51,418.3
52,418.3
53,989.2
54,5366.4
55,18117.4
56,19259.3
57,18498
58,16214.3
59,14691.8
60,11837.1
61,10314.6
62,9172.7
63,8030.8
64,9172.7
65,10695.2
66,14120.8
67,16594.9
68,15833.6
69,14501.4
70,11837.1
71,10314.6
72,5747.1
73,1752.7
74,990.6
75,418.7
76,418.7
77,990.6
78,5375.7
79,18149.7
80,19293.6
81,18531
82,16243.1
83,14717.9
84,11858
85,10332.8
86,9188.9
87,8044.9
88,9188.9
89,10714.1
90,14145.9
91,16624.4
92,15861.8
93,14527.2
94,11858
95,10332.8
96,5757
97,1755.4
98,992
99,419
100,419
101,992
102,5384.9
103,18181.6
104,19327.5
105,18563.6
106,16271.6
107,14743.7
108,11878.7
109,10350.8
110,9204.8
111,8058.8
112,9204.8
113,10732.8
114,14170.7
115,16653.6
116,15889.6
117,14552.7
118,11878.7
119,10350.8
120,5766.9
121,1758.1
122,993.3
123,419.3
124,419.3
125,993.3
126,5393.9
127,18213
128,19361
129,18595.7
130,16299.7
131,14769.1
132,11899.1
133,10368.5
134,9220.5
135,8072.5
136,9220.5
137,10751.1
138,14195.1
139,16682.4
140,15917
141,14577.7
142,11899.1
143,10368.5
144,5776.6
145,1760.7
146,994.6
147,419.7
148,419.7
149,994.6
150,5402.8
151,18244
152,19393.9
153,18627.3
154,16327.4
155,14794.1
156,11919.2
157,10385.9
158,9236
159,8086
160,9236
161,10769.3
162,14219.1
163,16710.7
164,15944.1
165,14602.5
166,11919.2
167,10385.9
168,5786.1
169,1763.4
170,995.9
171,420
172,420
173,995.9
174,5411.6
175,18274.5
176,19426.4
177,18658.5
178,16354.6
179,14818.8
180,11939
181,10403.1
182,9251.2
183,8099.3
184,9251.2
185,10787.1
186,14242.8
187,16738.6
188,15970.7
189,14626.8
190,11939
191,10403.1
192,5795.5
193,1765.9
194,997.2
195,420.3
196,420.3
197,997.2
198,5420.2
199,18304.5
200,19458.3
201,18689.1
202,16381.5
203,14843.1
204,11958.5
205,10420.1
206,9266.3
207,8112.4
208,9266.3
209,10804.7
210,14266.1
211,16766.1
212,15996.9
213,14650.8
214,11958.5
215,10420.1
216,5804.8
217,1768.4
218,998.5
219,420.6
220,420.6
221,998.5
222,5428.7
223,18334.1
224,19489.8
225,18719.3
226,16407.9
227,14867
228,11977.7
229,10436.7
230,9281
231,8125.3
232,9281
233,10822
234,14289.1
235,16793.1
236,16022.7
237,14674.3
238,11977.7
239,10436.7
240,5813.9
241,1770.9
242,999.7
243,420.9
244,420.9
245,999.7
246,5437
247,18363.1
248,19520.7
249,18749
250,16433.9
251,14890.4
252,11996.5
253,10453.1
254,9295.6
255,8138
256,9295.6
257,10839
258,14311.7
259,16819.7
260,16048
261,14697.5
262,11996.5
263,10453.1
264,5822.9
265,1773.4
266,1000.9
267,421.2
268,421.2
269,1000.9
270,5445.2
271,18391.7
272,19551.1
273,18778.2
